I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ","On average, how many hours do you spend online each day? (self-estimate)  ","I often use AI tools to help me make decisions, even for everyday choices. ",I feel more confident in my decisions when an AI tool supports my thinking. ,I tend to rely on AI tools when making decisions feels difficult.,I prefer to check my ideas with AI before finalising an important decision. ,AI can be helpful for giving me clarity when I’m unsure what choice to make. ,I’ve started second-guessing my own judgement more than I used to. ,"If AI gives a different answer to mine, I sometimes wonder whether I might be mistaken. ",I use AI tools to check whether my thinking is on the right track. ,I tend to pause before acting so I can check what an AI tool suggests. ,"For important decisions, I feel more comfortable checking an AI tool as part of my process. ",Using AI regularly has changed the way I feel about making decisions on my own. ,I think about how much AI might be influencing my decisions. ,"I feel that AI suggestions can be persuasive, even when I try to rely on my own intuition. ",I need to take a moment to separate my own judgement from AI suggestions. ,"Even when AI is helpful, I’m aware that relying on it too much may not be ideal for me long-term. ",I feel more independent when I make decisions without using AI. ,AI tools influence how I think about my decisions. ,I occasionally reflect on whether AI is shaping my decision-making style. ,I feel conflicted about how much influence AI has on me. ,"I generally trust my own judgement, but AI tools can sometimes affect how strongly I feel about a choice. ",Describe a recent moment where you relied on an AI tool to help you make a decision — big or small. What made you turn to AI instead of deciding on your own?, How much do you trust AI systems to act in your best interests?  ,How clear do you feel about what matters most in your life right now? ,"How much does modern digital life affect your ability to focus, decide, or think clearly? ",How do you feel about the growing role of AI in everyday decision-making? ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your gender?,Country of residence,What is your highest level of education? ,Which of the following best describes your current work status? ,How would you describe your general emotional wellbeing?  
Yes,Often,9–10 hours,2,2,3,1,3,1,3,1,1,2,1,5,4,1,6,7,2,4,2,4,"I wanted info on the rental market (pricing, trends, seasonal factors) to help my decision-making about lease renewal options.  It was quicker than performing the research on my own and it was factual information that I could check for accuracy.",4,7,2,4,"Empathy, Fairness, Non-harm",Over 65,Woman,US,Postgraduate degree,Employed full time,6
Yes,Everyday,9–10 hours,6,6,4,6,6,2,5,6,4,6,2,4,3,3,5,4,4,5,3,5,I used AI to help me buy a new laptop. It was helpful in explaining the terms and comparing one option to another making the choice seem less overwhelming.,4,6,5,5,"Honesty, Non-harm, Transparency",55 - 65,Woman,Canada,Bachelor’s degree,Employed full time,6
Yes,Everyday,9–10 hours,7,5,6,6,6,4,5,5,5,5,4,5,3,5,7,5,4,5,3,5,"I felt I needed a neutral perspective because the two closest people to me are my partner and my mother, so AI was the natural choice to resolve the conflict I had between them.",3,5,6,3,"Honesty, Non-harm, Transparency",25 - 34,Woman,Canada,Postgraduate degree,Employed full time,6
Yes,Sometimes,5–6 hours,4,6,5,4,6,4,5,5,4,5,3,3,4,4,5,5,5,4,3,5,I had some medical questions and i needed some reinforcement from an AI tool and it gave me a different perspective on ehat i thought,5,5,5,3,"Empathy, Responsibility, Transparency",45 - 54,Man,Canada,Bachelor’s degree,Employed full time,5
Yes,Often,2–4 hours,3,4,4,5,7,2,5,4,2,5,5,6,6,4,5,2,5,5,1,5,I was booking a trip with flights to Berlin. I used AI because I was sure that it was quicker and more reliable. ,5,7,5,6,"Non-harm, Transparency, Accountability",55 - 65,Man,UK,High school,Employed part-time,7
Yes,Very often,2–4 hours,4,5,5,4,4,5,5,4,5,4,5,5,5,4,6,5,4,6,4,5,I used AI to help me build a half marathon training program. I relied on the AI over my own knowledge because I did not know what I should do to build strength and endurance on my own.,6,5,6,6,"Honesty, Respect, Accountability",35 - 44,Man,US,Some university/college,Employed full time,5
Yes,Often,7–8 hours,1,4,1,1,4,1,4,1,1,1,1,1,1,4,7,1,1,1,1,1,I never relied on an AI tool to get help to make a decision.,4,7,6,7,"Human wellbeing, Non-harm, Transparency",45 - 54,Man,US,Postgraduate degree,Employed full time,6
Yes,Rarely,2–4 hours,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,7,1,1,1,1,I have never relied on AI when making a decision.,4,7,1,1,"Honesty, Non-harm, Transparency",55 - 65,Woman,UK,Some university/college,Employed part-time,7
Yes,Very often,7–8 hours,1,6,6,3,6,1,6,6,2,7,1,5,5,6,5,3,6,5,2,6,I used AI to help me with getting my new business started. It helped me confirm the necessary steps.,6,7,2,5,"Honesty, Transparency, Accountability",45 - 54,Woman,US,High school,Self-employed / freelance,5
Yes,Never,9–10 hours,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,I never use AI for anything.,1,7,1,1,"Honesty, Fairness, Responsibility",Over 65,Woman,US,Some university/college,Not currently working,7
Yes,Occasionally,More than 12 hours,1,5,1,1,5,5,2,1,2,3,3,5,5,3,6,7,5,2,3,5,"I wanted to buy some vitamins for a health problem I'm having, which I heard it was good for, but the Ai results on google noted that it typically doesn't help as much as people claimed so I didn't end up buying that product and did something else that was more natural and cheaper.",3,5,2,2,"Fairness, Human wellbeing, Transparency",25 - 34,Woman,Canada,Bachelor’s degree,Employed full time,4
Yes,Very often,2–4 hours,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,4,I was trying to decide what to watch on TV.,4,4,4,4,"Honesty, Responsibility, Human wellbeing",25 - 34,Man,US,Postgraduate degree,Employed full time,7
Yes,Occasionally,2–4 hours,5,6,5,6,6,6,4,5,6,5,3,4,7,7,6,6,6,5,3,6,I needed to buy a harness for my dog and don't have very much knowledge about them. I wanted to make sure it's the most secure and safest style so I turned to AI,7,7,2,5,"Responsibility, Non-harm, Transparency",Over 65,Woman,US,Bachelor’s degree,Other,7
Yes,Often,2–4 hours,6,6,6,6,6,1,4,6,4,4,6,5,2,1,2,3,5,3,3,3,How to get out a splinter,1,7,1,6,"Responsibility, Non-harm, Accountability",Over 65,Woman,US,Some university/college,Not currently working,7
Yes,Occasionally,7–8 hours,1,4,2,4,4,1,4,4,1,1,1,1,1,1,4,4,4,4,2,2,I haven't used AI for decision making.,4,7,1,2,"Honesty, Respect, Human wellbeing",55 - 65,Woman,UK,High school,Not currently working,6
Yes,Sometimes,More than 12 hours,5,5,2,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,I asked AI about a computer part I was looking into and the AI was right about the problem that I was asking about.,6,6,6,6,Human wellbeing,45 - 54,Man,US,Less than high school,Not currently working,6
Yes,Often,7–8 hours,2,5,3,2,5,5,2,6,2,3,1,2,4,1,6,4,2,1,1,5,I asked AI to help me with some facts about the town I l work in as I needed it for a quiz. I probably could have done some research myself but AI gave me the info super quickly. ,6,6,5,4,"Responsibility, Transparency, Accountability",35 - 44,Woman,UK,Bachelor’s degree,Employed part-time,5
Yes,Sometimes,5–6 hours,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,So far I have only used AI to compose Covering letter and CV doe job applications due to me not being a native in English speaker. This is the only reason why I prefer AI generated ,1,7,7,5,"Honesty, Responsibility, Accountability",35 - 44,Woman,UK,Bachelor’s degree,Self-employed / freelance,7
Yes,Everyday,2–4 hours,3,5,3,5,5,1,3,6,1,3,1,2,3,2,4,4,3,2,1,5,I have been dealing with a subordinate sabotaging me.  I wanted some help getting my thoughts on this more clear.  ,5,6,3,5,"Honesty, Human wellbeing, Transparency",55 - 65,Man,US,Bachelor’s degree,Employed full time,6
Yes,Occasionally,2–4 hours,2,1,1,1,1,1,1,1,7,1,1,1,1,1,4,4,1,1,1,1,I used AI for investment advic3.  I turned to AI to get more information and guidance on investment strategies because I thought it would have the knowledge I lacked. ,3,6,2,3,"Honesty, Responsibility, Transparency",35 - 44,Man,US,High school,Employed full time,6
Yes,Very often,5–6 hours,5,6,5,4,5,2,5,5,2,4,5,2,2,2,4,6,2,2,2,5,I knew what I wanted to do but was not sure about the consequences of doing it so I asked AI to give me some possible outcomes. After reading the explanations I felt much more convinced that I was making the right decision and there would be no unexpected outcomes from that.,6,7,4,6,"Honesty, Responsibility, Non-harm",Over 65,Woman,UK,High school,Employed full time,7
Yes,Occasionally,2–4 hours,2,2,2,2,2,6,4,2,2,2,1,4,4,4,6,6,5,4,3,5,I haven't relied on AI to help me make a decision. I have only used it to search for information. I wouldn't use it to help me make a decision as I don't feel it knows enough about me to do this. ,3,4,5,3,"Fairness, Responsibility, Accountability",35 - 44,Woman,UK,Postgraduate degree,Not currently working,2
Yes,Often,9–10 hours,5,6,5,6,5,2,5,5,4,4,5,6,4,2,5,2,6,4,3,5,I relied on an AI tool to help me decide which park I should visit within the city I live in. I wanted a neutral and objective voice to help me to decide this so I turned to ChatGPT. It was very helpful in guiding me to a good park.,5,6,3,5,"Honesty, Fairness, Transparency",25 - 34,Man,UK,Bachelor’s degree,Employed full time,6
Yes,Often,More than 12 hours,3,5,4,3,6,2,4,5,3,3,5,2,2,3,6,4,3,2,4,5,I thought I was making great headway building a friendship with my volleyball partner by asking them questions and getting to know them until one day they said I was being too nosy. I was confused and relayed a general context to chatgpt to see what I can do to amend our relationship.,3,3,1,4,"Fairness, Non-harm, Transparency",35 - 44,Man,Canada,Other,Not currently working,3
Yes,Often,Less than 2 hours,5,6,6,5,6,2,4,5,5,5,5,5,5,6,7,7,5,6,6,6,I needed help tailoring my resume for a job. Chatgpt helped me to do this and madey resume sound great. It made things easy and more importantly it improved my resume. Only AI could have helped me during this challenge.,5,6,6,6,"Respect, Responsibility, Accountability",35 - 44,Man,US,Postgraduate degree,Employed full time,7
Yes,Very often,9–10 hours,5,5,5,5,6,4,5,4,3,5,3,3,4,4,3,5,5,2,2,5,The most recent activity that comes to mind was i wanted help rewriting a slide title for a presentation. I turned to AI and asked for assistance.,4,6,6,5,"Non-harm, Accountability",35 - 44,Woman,US,Postgraduate degree,Employed full time,7
Yes,Everyday,9–10 hours,6,5,5,5,6,2,4,6,4,3,3,3,3,3,2,3,5,2,2,5,"I actually asked if I should fix a floating mortgage (partly offset) that we have or keep it fixed. I did ask AI because of its math ability, though, not for an opinion as such. I did then ask what it thought was best but it did have math to back it up, not a completely opinion based answer. The reason for this is that I thought it would out the outcomes of the interest better than I could.",3,7,3,5,"Honesty, Human wellbeing, Non-harm",35 - 44,Woman,New Zealand,Some university/college,Employed full time,6
Yes,Often,7–8 hours,1,4,4,4,5,1,1,5,3,4,7,5,1,6,7,4,1,1,1,4,I use AI to plan a route for my planned holiday. It gives me ideas on what I can do when I am not sure like booking layovers on long haul flights,6,6,7,4,"Responsibility, Transparency, Accountability",55 - 65,Woman,UK,High school,Employed part-time,5
Yes,Everyday,5–6 hours,2,2,2,1,2,1,4,1,1,1,1,3,6,1,4,6,2,2,3,2,"I asked the ai about haircuts that may suit me, i used the ai here because it would have access to a wider knowledge bank than me, but i still relied on my own decision",4,7,3,3,"Fairness, Responsibility, Accountability",35 - 44,Man,UK,Bachelor’s degree,Employed full time,5
Yes,Sometimes,5–6 hours,2,4,1,3,6,2,3,5,5,4,5,4,6,3,2,6,5,2,1,6,I use AI mainly as a knowledge resource to back up my beliefs prior to making a decision or follow-up action.,6,5,2,4,"Honesty, Responsibility, Transparency",Over 65,Man,UK,Some university/college,Other,6
Yes,Very often,5–6 hours,5,5,5,4,5,3,5,3,5,4,3,3,3,3,4,4,3,4,3,5,I wanted a day out and couldn't decide between two different towns. I used AI to give me the facts and figures and I told it what my priorities were and it helped me choose the best suited town to visit. ,4,5,5,5,"Fairness, Responsibility, Non-harm",25 - 34,Man,UK,Some university/college,Employed part-time,5
Yes,Everyday,5–6 hours,2,6,3,6,7,1,6,6,1,7,5,6,7,7,7,3,5,5,1,6,"I have been using AI for engine building advice. I am researching boring an engine to get more HP. AI seems to think it's too much and heat will crack the engine. Its very hard to move AI off this idea and even when I think it's on my side finally it will suddenly revert back to worrying about the heat. 

AI is right though after I looked into a lot more. Its workable, but AI is right heat is going to be a big problem. ",3,7,3,7,"Honesty, Transparency, Accountability",35 - 44,Man,US,Some university/college,Employed part-time,7
Yes,Everyday,7–8 hours,6,7,6,5,6,5,2,5,4,4,5,6,6,7,7,4,6,6,7,7,I recently was thinking about writing an essay response to someone else's essay they posted. I bounced ideas off of AI to see whether I had a good argument. I turned to AI because I do enjoy talking to it and getting a feel for what I should say or do. ,6,7,6,5,"Empathy, Respect, Accountability",18 - 24,Woman,US,Some university/college,Self-employed / freelance,6
Yes,Rarely,9–10 hours,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,i just thought i would see what it was all about and see its response,1,7,4,1,"Non-harm, Transparency",55 - 65,Woman,UK,High school,Other,2
Yes,Occasionally,5–6 hours,3,3,2,2,4,2,4,4,3,4,3,3,5,2,3,7,3,3,2,2,I asked AI what gifts to buy for someone and they said socks. I decided to turn to AI as I couldn't think of anything myself. ,4,5,5,4,"Honesty, Transparency, Accountability",25 - 34,Woman,Canada,Bachelor’s degree,Employed full time,6
Yes,Occasionally,Less than 2 hours,1,1,1,1,1,1,1,1,7,1,1,1,1,1,7,7,1,1,1,1,"The only time I can think of going to AI for any kind of ""decision"" was to input info into it and get it to summarize lengthy information for me, so that I could analyze that instead of the whole text. This was low stakes, however, and I would never rely on an LLM for decisions or tasks with any real weight. To do so is incredibly foolish. ChatGPT is not an informational resource. It's an aggregate of unverified data.",1,4,5,1,"Responsibility, Human wellbeing, Transparency",35 - 44,Prefer not to say,US,Bachelor’s degree,Employed part-time,2
Yes,Often,5–6 hours,5,4,4,4,5,2,3,6,4,4,4,2,4,6,6,6,2,2,3,4,"I didn’t have the necessary knowledge regarding a financial issue, so used AI, as I felt that it would have the necessary knowledge.",5,6,2,5,"Responsibility, Transparency, Accountability",55 - 65,Man,UK,Bachelor’s degree,Not currently working,6
Yes,Everyday,2–4 hours,5,6,6,6,6,2,6,4,3,5,1,1,2,2,4,2,4,2,5,2,I decided to use AI to arrange my itinerary according to distances for a past trip to Dallas.,6,7,3,5,"Honesty, Responsibility, Transparency",45 - 54,Woman,US,Some university/college,Employed full time,3
Yes,Everyday,2–4 hours,5,4,6,5,6,7,6,6,6,6,5,6,6,5,7,6,6,6,6,6,When deciding to quit smoking weed. I turned to ai for support and understanding. ,4,4,5,4,"Respect, Responsibility, Non-harm",35 - 44,Woman,US,Postgraduate degree,Self-employed / freelance,4
Yes,Occasionally,Less than 2 hours,4,6,7,6,6,5,6,6,2,3,6,5,5,6,5,7,6,4,7,5,"i used AI to help me write the backstory of a DnD character I am creating. I couldnt find ideas of my own, so I relied on AI to brain storm.",5,4,5,5,"Honesty, Fairness, Transparency",25 - 34,Woman,Canada,Postgraduate degree,Student,6
Yes,Very often,7–8 hours,2,6,6,6,7,3,4,5,5,6,4,4,6,6,5,4,4,4,5,6,I had to check dosages on some herbal medicines. They were slightly different to my own (but not significantly). ,5,6,4,5,"Transparency, Accountability, Accuracy ",45 - 54,Woman,UK,Postgraduate degree,Employed full time,6
Yes,Everyday,5–6 hours,5,6,6,6,6,3,5,6,6,6,4,5,5,5,6,7,5,5,5,5,I asked it what I should have for dinner because I really couldn't decide what to have.,5,6,5,5,"Honesty, Fairness, Human wellbeing",25 - 34,Woman,UK,Postgraduate degree,Employed full time,6
Yes,Never,Less than 2 hours,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,I don't use AI to make decisions.  ,2,5,2,1,Transparency,55 - 65,Woman,UK,Bachelor’s degree,Not currently working,6
Yes,Occasionally,5–6 hours,5,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,3,3,5,to find the half way point between two locations - I turned to AI as it was quick and meant I did not have to look at maps,5,6,4,4,"Honesty, Responsibility, Non-harm",Over 65,Man,UK,High school,Not currently working,6
Yes,Sometimes,2–4 hours,3,4,4,5,6,3,5,5,4,5,3,2,3,4,3,5,5,2,2,6,I just used AI to verify if a phone app was okay to use in a certain state.,5,6,4,5,"Honesty, Fairness, Non-harm",35 - 44,Man,US,Bachelor’s degree,Employed full time,6
Yes,Often,9–10 hours,4,3,3,4,4,2,3,4,4,3,3,4,5,4,4,5,5,4,3,4,To help me plan how to spray paint kitchen cupboard handles. I wasn't confident on how to do it as i had not done jt before,5,6,4,4,"Honesty, Responsibility, Non-harm",25 - 34,Man,UK,Some university/college,Employed full time,6
Yes,Sometimes,5–6 hours,5,6,5,6,7,6,7,7,5,6,6,7,6,6,7,6,7,7,6,6,I used the AI tool to quickly create five different practice problems about quadratic factoring for my geometry students because I needed different examples right away. I used it because I didn't have much time to plan and I wanted to make sure the problems matched the format the district introduced this semester in fall of 2025.,5,4,6,5,"Honesty, Fairness, Human wellbeing",25 - 34,Man,US,Bachelor’s degree,Employed part-time,3
Yes,Very often,2–4 hours,5,6,6,6,7,3,5,5,5,5,5,3,5,4,4,4,5,4,3,5,"I wanted some advice on a family issue, feel AI is impartial and I would be given the facts and not be influenced by what I wanted the outcome to be.",5,6,5,5,"Honesty, Fairness, Transparency",Over 65,Woman,UK,High school,Not currently working,6
Yes,Sometimes,2–4 hours,3,2,2,1,5,1,2,5,2,2,2,2,5,5,5,4,2,1,1,5,Holiday recommendations ,5,5,6,4,"Honesty, Fairness, Responsibility",35 - 44,Man,UK,High school,Employed full time,3
Yes,Everyday,5–6 hours,6,6,7,7,7,1,1,6,6,6,4,5,6,7,7,1,6,7,7,6,"I wanted AI to help me prepare a comprehensive project report and I need extensive information, charts, graphs to make it robust",6,5,6,5,"Honesty, Responsibility, Transparency",45 - 54,Woman,UK,Postgraduate degree,Employed full time,6
