I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",I have a clear understanding of my core personal values. ,I can easily explain what matters most to me. ,My values rarely change over time. ,I feel confident in what I believe is right for me. ,Which of the following best represent your top three personal values? (select up to 3),What matters most to you in life?  ,My life feels meaningful. ,I feel fulfilled by how I spend my time. ,I have a clear sense of direction in my life. ,I often feel unsure about what I truly want in life. ,I feel motivated about my future. ,My daily behaviour reflects my values. ,I often behave in ways that conflict with what’s important to me. ,"I often know what I should do, but I struggle to follow through in real life ",I struggle to be the person I want to be. ,Which areas of your life feel least aligned with your values? (select all that apply),  I have felt cheerful and in good spirits.  ,I have felt calm and relaxed. ,I have felt active and vigorous. ,I woke up feeling fresh and rested. ,My daily life has been filled with things that interest me. ,I trust myself to make good decisions. ,I feel easily influenced by other people’s opinions. ,I doubt myself even when I know what I truly value. ,I find it difficult to follow my internal compass. ,Digital noise makes it harder to focus on what matters. ,I often feel distracted from my values by online content. ,"I often feel reactive, distracted, or pulled away from the person I want to become. ",AI tools sometimes influence how I think about decisions. ,I prefer to rely on my own judgement rather than AI suggestions. ,I worry that AI could push society away from meaningful things.  ,AI should be trained to reflect core human values. ,Understanding what humans value is important for future AI systems. ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your current work status? ,What is your highest level of education? ,Country of residence,Which of the following best describes your gender?,How would you describe your general emotional wellbeing?  
Yes,Rarely,5,5,1,5,"Achievement / Growth, Security / Stability, Health",Being a kind person who always has something nice to say to others,2,2,1,5,3,6,1,2,2,None,2,2,3,4,2,5,2,3,2,5,3,5,1,7,7,4,5,"Honesty, Fairness, Non-harm",25 - 34,Self-employed / freelance,Some university/college,UK,Man,5
Yes,Very often,7,7,5,7,"Family, Achievement / Growth, Security / Stability",Family,7,7,7,1,7,7,1,4,7,"Time / focus, Relationships, Finances, Purpose / direction",5,5,5,5,5,7,1,6,1,3,2,1,1,7,1,5,6,"Honesty, Empathy, Fairness",35 - 44,Employed full time,Some university/college,UK,Man,7
Yes,Very often,6,7,6,6,"Family, Honesty / Integrity, Responsibility",my family and our wellbeing,7,6,6,2,6,5,6,6,4,"Time / focus, Digital habits",4,4,4,5,4,7,2,2,2,4,5,5,6,4,6,7,7,"Empathy, Fairness, Respect",45 - 54,Employed full time,Bachelor’s degree,UK,Man,6
Yes,Sometimes,6,5,4,5,"Honesty / Integrity, Independence, Responsibility",Being free and helping others to be free,5,4,4,5,4,5,6,3,4,"Relationships, Finances",4,3,2,3,4,6,3,3,3,6,6,4,3,7,7,3,5,"Non-harm, Transparency, Accountability",35 - 44,Employed full time,Postgraduate degree,UK,Man,6
Yes,Everyday,7,6,7,5,"Family, Achievement / Growth, Health",Health and family,6,5,5,3,7,7,2,5,3,"Health, Time / focus, Relationships",3,4,4,2,3,6,1,2,3,3,2,2,5,5,2,4,6,"Fairness, Human wellbeing, Transparency",25 - 34,Employed full time,Bachelor’s degree,US,Man,6
Yes,Often,5,5,5,5,"Family, Achievement / Growth, Independence",My son,4,3,4,5,5,4,5,5,6,"Relationships, Finances",2,3,3,1,2,5,5,5,4,2,2,6,2,5,3,5,5,"Honesty, Transparency, Accountability",45 - 54,Employed full time,Bachelor’s degree,UK,Man,3
Yes,Often,6,7,6,6,"Family, Achievement / Growth, Security / Stability",My family,6,5,6,7,6,7,6,6,3,"Health, Relationships, Work / career",4,5,4,4,4,6,3,2,1,5,4,4,5,3,4,5,6,"Honesty, Respect, Transparency",45 - 54,Employed full time,High school,UK,Man,6
Yes,Everyday,6,6,5,6,"Family, Security / Stability, Health",The ability to provide for my family and keep them safe.,6,4,5,3,6,6,2,3,3,Relationships,3,2,4,3,3,6,3,5,3,6,5,5,4,5,3,7,6,"Honesty, Empathy, Non-harm",35 - 44,Employed full time,Postgraduate degree,Canada,Man,6
Yes,Often,6,6,6,7,"Family, Honesty / Integrity, Security / Stability",My familys health and happiness,6,6,6,2,7,7,1,1,1,Finances,5,5,5,5,5,6,5,1,1,3,4,4,5,6,2,5,6,"Empathy, Human wellbeing, Transparency",35 - 44,Employed full time,Bachelor’s degree,UK,Man,6
Yes,Sometimes,6,6,5,6,"Family, Security / Stability, Compassion",Family,6,6,6,2,6,6,2,2,2,"Time / focus, Digital habits, Finances",4,4,3,4,4,5,3,2,2,5,3,2,1,5,3,6,6,"Fairness, Responsibility, Transparency",25 - 34,Employed full time,Bachelor’s degree,UK,Woman,5
Yes,Often,7,7,7,5,"Family, Honesty / Integrity, Health",being healthy,6,6,6,2,5,5,1,3,3,"Time / focus, Digital habits",4,4,2,2,4,7,3,2,2,5,5,3,1,6,6,7,7,"Honesty, Human wellbeing, Accountability",55 - 65,Not currently working,Bachelor’s degree,UK,Man,6
Yes,Rarely,5,5,5,5,"Family, Security / Stability, Health",family,5,5,5,3,5,5,3,4,4,None,3,3,3,3,3,4,3,4,3,3,3,3,1,7,4,3,5,"Honesty, Fairness, Human wellbeing",55 - 65,Employed full time,Bachelor’s degree,UK,Woman,4
Yes,Sometimes,6,6,5,6,"Honesty / Integrity, Independence, Creativity",purpose,6,6,6,2,6,6,3,3,2,"Health, Time / focus, Relationships, Finances",3,5,4,2,4,7,2,1,1,1,1,1,1,6,1,1,5,"Honesty, Non-harm, Transparency",45 - 54,Employed full time,Postgraduate degree,UK,Woman,6
Yes,Rarely,6,5,5,5,"Family, Achievement / Growth, Independence",My children,3,2,4,6,4,5,4,7,6,"Work / career, Finances, Purpose / direction",2,3,2,3,3,4,6,7,4,6,5,6,2,7,5,3,5,"Honesty, Non-harm, Transparency",35 - 44,Employed part-time,Postgraduate degree,US,Man,2
Yes,Very often,6,4,5,5,"Family, Achievement / Growth, Health",Doing right for myself and the people I love,4,3,3,6,3,4,5,5,6,"Health, Relationships, Work / career, Digital habits",2,2,2,1,1,5,4,6,4,7,4,6,2,7,7,7,7,"Responsibility, Human wellbeing, Transparency",18 - 24,Student,Bachelor’s degree,UK,Woman,4
Yes,Occasionally,6,5,6,6,"Family, Honesty / Integrity, Compassion",Family,6,4,4,5,4,6,2,3,2,"Health, Time / focus, Relationships, Work / career",3,3,3,2,3,6,2,2,2,4,2,2,1,7,6,6,6,"Honesty, Respect, Responsibility",45 - 54,Employed full time,Bachelor’s degree,UK,Man,5
Yes,Sometimes,3,2,6,5,"Family, Achievement / Growth, Health",family ,3,2,2,6,2,2,5,6,6,"Digital habits, Purpose / direction",2,3,1,1,1,6,5,4,4,5,5,5,6,6,5,4,4,"Honesty, Fairness",25 - 34,Employed full time,Bachelor’s degree,Canada,Woman,4
Yes,Very often,7,7,6,6,"Family, Honesty / Integrity, Compassion",my family,7,5,6,1,7,7,1,1,1,Purpose / direction,5,4,4,4,5,7,1,1,1,6,2,3,5,6,6,4,4,"Non-harm, Transparency, Accountability",55 - 65,Employed part-time,Postgraduate degree,Canada,Woman,6
Yes,Often,6,4,5,4,"Honesty / Integrity, Independence, Adventure",Adventure,5,4,3,4,5,3,4,6,2,"Relationships, Work / career",4,4,4,3,4,4,3,5,5,5,6,5,5,6,6,6,7,"Empathy, Human wellbeing, Accountability",35 - 44,Employed full time,Bachelor’s degree,Australia,Man,5
Yes,Sometimes,6,6,6,6,"Security / Stability, Health, Independence",health,5,4,5,5,5,4,3,5,4,"Health, Relationships, Finances, Purpose / direction",4,3,3,2,3,6,2,3,2,6,6,6,3,6,5,4,6,"Fairness, Respect, Accountability",55 - 65,Employed full time,Bachelor’s degree,UK,Woman,5
Yes,Occasionally,2,4,1,3,"Achievement / Growth, Security / Stability, Responsibility",Doing my best in everything I do,6,5,6,5,6,5,6,7,7,"Health, Time / focus, Digital habits",3,2,4,3,4,5,6,6,4,6,6,2,2,7,7,7,7,"Honesty, Responsibility, Human wellbeing",18 - 24,Employed full time,Postgraduate degree,UK,Woman,5
Yes,Occasionally,5,6,5,6,"Family, Honesty / Integrity, Security / Stability",My wife and son ,4,5,5,4,4,6,2,4,4,None,4,4,3,2,3,5,1,1,4,1,1,1,2,4,3,2,4,"Fairness, Non-harm, Transparency",Over 65,Employed full time,Bachelor’s degree,UK,Man,6
Yes,Never,6,5,6,6,"Family, Honesty / Integrity, Compassion",My children and grandchildren,6,6,4,2,4,6,1,4,2,"Work / career, Digital habits, Purpose / direction",4,4,2,3,4,6,3,1,2,6,5,2,1,7,7,5,6,"Honesty, Transparency, Accountability",Over 65,Other,Some university/college,UK,Woman,6
Yes,Everyday,7,7,6,6,"Family, Honesty / Integrity, Creativity",My family,6,6,6,3,6,6,2,2,3,"Relationships, Digital habits",4,4,4,4,4,6,2,2,2,5,3,4,3,6,4,4,5,"Responsibility, Non-harm, Accountability",35 - 44,Employed full time,Postgraduate degree,Canada,Woman,6
Yes,Sometimes,6,6,4,5,"Honesty / Integrity, Compassion, Responsibility",Spending time with the people close to me,6,5,3,5,3,5,2,5,5,"Time / focus, Work / career, Purpose / direction",3,4,2,2,3,5,3,2,3,6,4,5,3,6,7,4,4,"Non-harm, Transparency, Accountability",18 - 24,Student,Some university/college,Ireland,Man,5
Yes,Sometimes,7,7,7,7,"Family, Security / Stability, Faith / Spirituality",The health and happiness of my children,5,5,6,2,5,5,4,5,3,Relationships,3,4,4,4,3,6,4,3,2,7,6,6,4,7,7,7,7,"Responsibility, Non-harm, Accountability",55 - 65,Self-employed / freelance,Bachelor’s degree,UK,Woman,5
Yes,Often,5,6,5,6,"Honesty / Integrity, Independence, Responsibility",pride,7,6,7,2,5,6,6,6,3,"Time / focus, Work / career, Purpose / direction",5,4,4,5,4,7,6,4,6,7,7,7,2,7,2,7,6,"Respect, Responsibility, Non-harm",25 - 34,Employed full time,Postgraduate degree,Canada,Man,6
Yes,Often,5,6,5,5,"Family, Security / Stability, Health",My kids,4,4,3,5,3,3,4,5,6,"Time / focus, Work / career, Finances, Purpose / direction",3,3,2,2,1,4,3,4,5,5,5,5,5,5,3,3,4,"Honesty, Non-harm, Transparency",25 - 34,Employed part-time,Some university/college,UK,Woman,4
Yes,Occasionally,6,6,6,7,"Family, Honesty / Integrity, Responsibility",Family ,6,5,5,4,5,6,2,2,3,"Work / career, Digital habits",4,4,4,3,4,6,3,3,3,3,2,2,2,6,5,6,4,"Fairness, Responsibility, Transparency",55 - 65,Employed full time,High school,UK,Man,6
Yes,Sometimes,6,7,4,6,"Family, Achievement / Growth, Faith / Spirituality",God and family,7,6,5,3,6,6,4,7,6,"Health, Work / career, Finances",4,3,2,2,4,6,3,3,2,6,5,6,5,5,7,4,4,"Non-harm, Transparency",45 - 54,Not currently working,Bachelor’s degree,US,Woman,6
Yes,Very often,6,7,4,6,"Family, Security / Stability, Health","What matters most to me is being able to be a good person, but also being able to have financial stability in my life. I like there to be structure and social relationships. I want goo health and balance. I also care deeply for my family. I treasure new experiences.",5,6,6,3,7,6,2,3,5,"Time / focus, Digital habits",4,4,4,5,4,6,4,3,3,6,5,6,6,7,7,4,6,"Fairness, Responsibility, Transparency",25 - 34,Employed full time,Bachelor’s degree,US,Woman,6
Yes,Everyday,7,7,7,6,"Family, Honesty / Integrity, Independence",My kids,6,7,5,6,5,7,1,6,6,"Time / focus, Digital habits, Finances",4,4,3,4,5,6,3,4,5,6,5,3,3,7,5,6,7,"Respect, Human wellbeing, Non-harm",25 - 34,Employed full time,High school,Canada,Woman,5
Yes,Very often,5,6,7,7,"Honesty / Integrity, Compassion, Responsibility",That my family are happy. ,6,7,6,3,6,6,2,2,2,"Health, Relationships, Work / career",4,3,4,2,4,7,3,1,2,1,4,5,6,4,2,4,4,"Honesty, Fairness, Responsibility",55 - 65,Employed part-time,High school,UK,Man,5
Yes,Everyday,7,7,6,7,"Family, Health, Adventure",making memories,2,4,3,5,5,5,2,5,4,"Health, Relationships, Finances",2,3,2,2,3,4,2,2,2,6,2,3,5,5,4,6,6,"Honesty, Non-harm, Transparency",25 - 34,Employed full time,Postgraduate degree,Canada,Woman,3
Yes,Everyday,5,6,3,4,"Family, Health, Compassion",My kids and grandson,2,3,1,7,7,4,2,7,7,"Work / career, Finances, Purpose / direction",1,2,1,1,2,2,4,5,5,6,7,6,5,4,2,6,6,"Empathy, Human wellbeing, Non-harm",55 - 65,Not currently working,Some university/college,US,Woman,2
Yes,Sometimes,6,7,4,5,"Family, Health, Independence",Family,7,7,5,1,6,6,3,7,7,"Work / career, Finances, Purpose / direction",3,1,2,2,4,1,7,6,7,7,5,7,2,6,7,7,6,"Honesty, Empathy, Transparency",25 - 34,Employed full time,Some university/college,UK,Woman,2
Yes,Occasionally,5,6,7,6,"Family, Honesty / Integrity, Security / Stability",Experiences with family and friends,5,4,5,3,6,5,4,4,5,"Work / career, Digital habits",3,4,3,3,4,6,2,4,4,6,6,5,4,7,5,4,6,"Honesty, Human wellbeing, Accountability",35 - 44,Employed full time,Bachelor’s degree,US,Man,5
Yes,Occasionally,7,7,6,7,"Family, Security / Stability, Creativity",My health,6,7,7,1,5,7,3,7,1,Health,5,5,4,3,5,6,3,5,2,5,4,1,1,7,7,7,7,"Non-harm, Transparency, Accountability",55 - 65,Self-employed / freelance,High school,UK,Woman,6
Yes,Occasionally,5,3,4,4,"Honesty / Integrity, Security / Stability, Health",Peaceful life,5,5,4,6,4,5,3,5,5,"Work / career, Finances",4,3,2,2,3,4,5,5,3,4,3,5,3,4,4,5,5,"Empathy, Respect, Transparency",25 - 34,Self-employed / freelance,Bachelor’s degree,Canada,Man,5
Yes,Often,4,4,3,5,"Family, Security / Stability, Health",Health,3,3,3,6,3,3,4,5,5,"Digital habits, Purpose / direction",2,2,2,2,2,3,5,6,5,6,6,6,5,4,5,4,5,"Honesty, Responsibility, Transparency",18 - 24,Employed full time,Bachelor’s degree,Canada,Man,3
Yes,Sometimes,6,6,6,6,"Family, Honesty / Integrity, Health",My daughter ,3,2,2,6,2,5,6,6,7,"Health, Purpose / direction",3,3,2,1,3,3,5,6,5,6,5,5,5,6,7,7,7,"Honesty, Non-harm, Transparency",Over 65,Not currently working,High school,UK,Woman,3
Yes,Everyday,7,7,5,7,"Family, Honesty / Integrity, Faith / Spirituality",Fulfilling God's purpose for my life,7,7,7,1,7,7,1,2,1,"Health, Time / focus, Relationships, Work / career, Finances, Purpose / direction",5,5,5,5,5,6,1,3,1,5,3,3,6,4,4,5,6,"Honesty, Fairness, Non-harm",35 - 44,Employed full time,Postgraduate degree,New Zealand,Man,7
Yes,Everyday,6,6,6,6,"Honesty / Integrity, Responsibility",My children,6,5,5,2,5,6,3,4,4,Health,4,4,4,3,4,6,5,5,2,3,4,4,6,3,3,6,6,"Honesty, Fairness, Responsibility",25 - 34,Employed full time,Bachelor’s degree,UK,Man,6
Yes,Sometimes,6,6,5,5,"Family, Achievement / Growth, Health",Personal achievements and progressing in my dream career,5,6,6,2,6,4,5,3,3,Digital habits,4,3,3,2,5,7,2,4,2,3,1,2,3,7,7,7,7,"Honesty, Human wellbeing, Accountability",18 - 24,Student,Some university/college,Ireland,Man,5
Yes,Sometimes,5,7,4,7,"Family, Honesty / Integrity, Health",making enough money to make ends meet to my family right now,6,6,6,5,7,7,7,7,6,Finances,3,2,2,1,3,4,3,6,6,4,3,2,4,5,6,5,7,"Honesty, Human wellbeing, Non-harm",35 - 44,Not currently working,Less than high school,UK,Man,3
Yes,Everyday,7,6,3,6,"Family, Security / Stability, Independence",Being with my family ,7,6,7,3,6,6,1,3,3,Digital habits,4,3,3,3,5,5,2,2,2,5,4,5,5,4,1,5,5,"Fairness, Responsibility, Non-harm",45 - 54,Self-employed / freelance,Postgraduate degree,UK,Woman,6
Yes,Often,6,5,5,6,"Honesty / Integrity, Security / Stability, Independence",being able to do my usual hobbies,5,5,6,3,5,6,4,6,5,"Health, Time / focus, Relationships, Work / career, Digital habits",4,4,3,3,4,6,5,5,3,6,4,4,5,4,7,7,7,"Honesty, Responsibility, Human wellbeing",18 - 24,Student,Some university/college,Canada,Man,5
Yes,Very often,4,5,3,6,"Honesty / Integrity, Independence, Adventure",Freedom,6,6,5,5,6,6,3,4,4,"Work / career, Digital habits",4,4,4,3,3,5,2,3,2,2,4,3,2,7,6,4,4,"Non-harm, Transparency, Accountability",35 - 44,Employed full time,Bachelor’s degree,Canada,Man,5
Yes,Very often,5,5,3,5,"Family, Health, Independence",My son and daughter,6,5,6,3,6,4,5,7,6,"Health, Digital habits, Finances",3,3,2,2,4,5,3,4,4,6,4,5,5,6,6,5,5,"Honesty, Fairness, Transparency",55 - 65,Employed part-time,Bachelor’s degree,UK,Woman,5
Yes,Occasionally,6,6,5,6,"Family, Health, Faith / Spirituality",My family ,7,5,5,2,3,5,2,3,2,None,4,3,3,2,4,7,1,3,3,4,2,1,2,7,7,7,7,"Respect, Human wellbeing, Accountability",Over 65,Not currently working,High school,UK,Woman,6
Yes,Everyday,7,7,4,5,"Family, Health, Independence",Living in a meaningful and fulfilling life,1,1,1,1,1,3,4,5,7,"Relationships, Work / career, Finances",1,1,1,1,1,3,3,7,5,7,7,7,7,7,7,7,7,"Honesty, Empathy, Fairness",35 - 44,Self-employed / freelance,Some university/college,US,Woman,1
Yes,Rarely,7,7,6,7,"Honesty / Integrity, Health, Compassion","Helping others, being kind to myself and others and the world, loving and being loved",6,6,5,2,5,6,1,4,2,Relationships,4,2,2,1,4,5,2,2,1,6,5,1,2,7,7,6,6,"Honesty, Responsibility, Accountability",25 - 34,Employed part-time,Bachelor’s degree,Australia,Non-binary,5
Yes,Occasionally,6,6,7,6,"Honesty / Integrity, Health, Independence",Doing what I consider to be the right thing and being fair,2,2,3,4,2,6,2,1,4,"Relationships, Finances",2,4,3,2,2,4,3,2,2,4,3,3,2,6,4,5,5,"Honesty, Fairness, Transparency",55 - 65,Not currently working,Bachelor’s degree,UK,Man,4
Yes,Very often,7,7,6,7,"Family, Honesty / Integrity, Compassion","My Family is most important in my life. From them I learned honesty, integrity and compassion which are also my top personal values.",7,6,6,1,6,7,1,3,3,"Health, Finances",5,5,4,4,5,7,2,1,2,4,4,3,1,7,5,1,1,"Non-harm, Transparency, Accountability",35 - 44,Employed full time,Some university/college,US,Woman,7
Yes,Never,4,5,2,4,"Honesty / Integrity, Security / Stability, Health",health,2,2,1,3,1,6,2,3,1,None,2,3,4,3,2,4,1,4,2,4,1,1,1,7,6,4,5,"Honesty, Transparency, Accountability",55 - 65,Not currently working,Postgraduate degree,US,Man,5
Yes,Never,7,7,7,7,"Family, Health, Faith / Spirituality",My family,7,6,7,1,6,7,1,4,2,None,5,5,1,2,3,7,1,1,1,1,1,1,1,7,7,1,1,AI systems are ARTIFICIAL. They reflect what is programmed into them!,Over 65,Not currently working,Some university/college,UK,Woman,7
Yes,Everyday,6,6,3,5,"Family, Compassion, Creativity",My family ,7,5,5,4,7,6,2,4,4,Digital habits,4,4,5,3,4,6,3,3,2,6,2,3,5,7,2,3,4,"Responsibility, Non-harm, Transparency",35 - 44,Self-employed / freelance,Postgraduate degree,UK,Man,6
Yes,Occasionally,5,5,6,6,"Family, Honesty / Integrity, Health",My family,3,2,3,4,2,2,4,5,4,"Work / career, Purpose / direction",2,3,2,2,2,4,2,5,5,3,4,3,2,5,3,5,6,"Fairness, Human wellbeing, Accountability",55 - 65,Other,Bachelor’s degree,UK,Man,3
Yes,Everyday,6,6,5,6,"Family, Health, Faith / Spirituality",Family,6,6,6,2,6,6,2,3,2,Digital habits,4,4,3,4,4,6,2,2,3,2,3,6,5,5,4,5,6,"Honesty, Human wellbeing, Non-harm",35 - 44,Employed part-time,Postgraduate degree,UK,Woman,6
Yes,Never,7,6,7,7,"Family, Independence, Responsibility",welfare of myself and family,6,5,6,2,5,6,1,1,1,None,4,5,3,5,3,7,1,1,1,1,1,1,1,7,4,4,4,"Honesty, Respect, Non-harm",Over 65,Self-employed / freelance,Postgraduate degree,US,Man,7
Yes,Everyday,7,7,7,7,"Honesty / Integrity, Independence, Creativity",Being happy!,6,6,7,2,5,6,2,3,3,"Health, Time / focus, Relationships, Work / career, Digital habits, Purpose / direction",4,3,4,4,4,6,2,2,2,2,2,2,4,5,2,4,4,"Responsibility, Human wellbeing, Non-harm",55 - 65,Self-employed / freelance,Bachelor’s degree,UK,Man,5
Yes,Occasionally,2,2,5,3,"Family, Security / Stability, Health",My family ,2,2,2,6,3,4,2,2,5,"Time / focus, Relationships, Purpose / direction",3,3,2,3,2,5,7,6,4,7,6,2,2,6,7,6,4,"Honesty, Responsibility, Non-harm",35 - 44,Employed full time,Bachelor’s degree,UK,Woman,3
Yes,Occasionally,5,7,6,5,"Honesty / Integrity, Creativity, Adventure",Comfort,3,2,2,3,3,2,6,7,7,"Health, Work / career, Finances, Purpose / direction",2,3,1,1,1,1,2,6,6,7,7,6,1,7,6,7,7,"Honesty, Empathy, Non-harm",45 - 54,Employed full time,Bachelor’s degree,Australia,Man,2
Yes,Rarely,7,7,7,7,"Family, Health, Faith / Spirituality",Family,7,7,7,1,7,7,1,1,1,None,4,4,4,4,4,7,2,1,1,7,4,5,2,7,7,7,7,"Honesty, Respect, Human wellbeing",Over 65,Not currently working,Some university/college,UK,Woman,6
Yes,Sometimes,5,4,2,4,"Honesty / Integrity, Health, Independence",Independence,6,5,6,2,5,5,6,2,4,Finances,4,5,3,4,4,6,4,2,5,6,2,6,6,2,5,6,7,"Responsibility, Non-harm, Accountability",25 - 34,Employed full time,Bachelor’s degree,Canada,Woman,4
Yes,Sometimes,5,6,3,6,"Achievement / Growth, Health, Independence",Progress,2,3,2,5,3,2,2,4,4,Time / focus,4,3,4,4,2,5,3,2,5,3,4,4,2,7,7,7,7,"Empathy, Respect, Accountability",18 - 24,Employed full time,Some university/college,US,Man,6
Yes,Never,6,6,6,6,"Security / Stability, Health, Independence",maintaining good mental and physical health (so I can achieve other things that matter),1,2,2,4,1,4,5,6,6,"Relationships, Purpose / direction",2,2,1,1,1,3,2,5,4,3,2,4,1,7,7,5,6,"Honesty, Transparency, Accountability",35 - 44,Self-employed / freelance,Some university/college,US,Non-binary,1
Yes,Rarely,6,6,3,6,"Security / Stability, Health, Creativity",Currently my mental and physical wellbeing,5,3,3,4,5,5,5,4,3,Work / career,3,4,3,3,4,6,3,4,1,5,5,3,2,7,7,4,4,"Responsibility, Transparency, Accountability",18 - 24,Student,Some university/college,US,Man,5
Yes,Sometimes,7,7,6,7,"Family, Honesty / Integrity, Compassion",The people in it,7,7,7,7,6,7,2,2,1,Work / career,5,5,5,5,5,7,2,3,2,3,2,2,4,6,7,6,6,"Honesty, Human wellbeing, Non-harm",25 - 34,Employed full time,Bachelor’s degree,US,Woman,7
Yes,Everyday,7,7,7,7,"Family, Honesty / Integrity, Health","Having a healthy, happy family",7,6,6,1,7,7,1,1,1,"Time / focus, Digital habits",4,4,4,4,4,6,2,2,2,5,2,1,2,2,5,7,7,"Honesty, Respect, Non-harm",35 - 44,Employed full time,High school,New Zealand,Woman,6
